id,time,replicate_1,replicate_2,replicate_3
droso_4840,9.200000000000001,2.7040727,2.1874073,2.532546
droso_4840,9.3,2.9154463,2.546128,2.9471326
droso_4840,9.4,2.8962958,2.3789992,2.641143
droso_4840,9.5,2.7260044,2.334852,2.7502067
droso_4840,9.600000000000001,2.8234007,2.8494587,2.9308665
droso_4840,9.700000000000001,3.0159914,2.5908375,3.034686
droso_4840,9.8,2.5104997,2.857732,3.0362518
droso_4840,9.9,2.3612788,2.9561477,3.00817
droso_4840,10.0,2.8277268,2.8309724,3.0284657
droso_4840,10.100000000000001,2.3248763,2.86088,2.9983523
droso_4840,10.200000000000001,3.048858,3.0587244,3.1046042
droso_4840,10.3,2.0800772,2.6718252,3.1366777
droso_4840,10.4,2.2461977,2.6152933,2.7303424
droso_4840,10.5,2.3018734,3.2887309,2.6876283
droso_4840,10.600000000000001,2.2936232,3.4467635,2.7796082
droso_4840,10.700000000000001,2.942687,4.0479383,3.2209642
droso_4840,10.8,2.8181314,3.8213258,3.007449
droso_4840,10.9,2.2071567,3.447073,2.553199
droso_4840,11.0,2.7809277,3.4478724,3.157195
droso_4840,11.100000000000001,2.9733763,3.3374777,2.7863646
droso_4840,11.200000000000001,2.9866168,2.8716254,2.947043
droso_4840,11.3,2.9406729,3.332321,2.5765579
droso_4840,11.4,2.8817265,3.5793054,3.0061421
droso_4840,11.5,2.975157,4.2103596,2.3455563
droso_4840,11.600000000000001,3.2058585,4.171066,2.9531386
droso_4840,11.700000000000001,2.7086835,3.6479897,2.750774
droso_4840,11.8,2.8317404,4.4480014,2.5405822
droso_4840,11.9,2.4473376,4.604469,3.0168889
droso_4840,12.0,2.4172165,4.2787614,2.5761616
droso_4840,12.100000000000001,2.6518338,4.2351274,2.7806766
droso_4840,12.200000000000001,2.8199224,3.9790304,2.3137455
droso_4840,12.3,3.0835176,3.4370904,2.407025
droso_4840,12.4,2.9935138,3.3101842,2.3287847
droso_4840,12.5,3.481228,3.0053337,2.7524443
droso_4840,12.600000000000001,3.23916,2.8740628,2.6043966
droso_4840,12.700000000000001,3.5870426,3.1409082,2.683197
droso_4840,12.8,3.6134894,2.9500184,2.6280015
droso_4840,12.9,3.2654312,3.181134,2.578596
droso_4840,13.0,3.583476,3.2491527,2.52349
droso_4840,13.100000000000001,4.0614533,2.902363,2.4159105
droso_4840,13.200000000000001,3.6675234,3.1090593,2.2991083
droso_4840,13.3,3.3941371,2.3614562,2.511096
droso_4840,13.4,3.7523284,2.1535141,2.5814116
droso_4840,13.5,4.198973,2.4903712,2.416344
droso_4840,13.600000000000001,4.319234,2.2136657,2.7233078
droso_4840,13.700000000000001,4.632909,2.3735807,2.5040789
droso_4840,13.8,4.3210945,2.649938,2.4918184
droso_4840,13.9,4.2069697,2.328194,2.5271018
droso_4840,14.0,3.4832058,2.748788,3.0248
droso_4840,14.100000000000001,3.6422477,2.4509811,2.9020488
droso_4840,14.200000000000001,3.2223172,2.4847755,2.6172817
droso_4840,14.3,3.643528,2.5192847,2.6811812
droso_4840,14.4,3.2938747,2.6391785,2.8288743
droso_4840,14.5,3.247676,2.4044,2.6066387
droso_4840,14.600000000000001,3.226412,2.2931888,2.433259
droso_4840,14.700000000000001,3.426086,2.556143,2.7491992
droso_4840,14.8,3.5631006,2.834447,2.8164964
droso_4840,14.9,3.6454346,2.8390243,2.9179518
droso_4840,15.0,3.1846771,3.0065567,2.689048
droso_4840,15.100000000000001,3.419818,2.2461557,2.7116327
droso_4840,15.200000000000001,3.5710628,2.4969032,2.4934921
droso_4840,15.3,3.0713944,3.1474185,2.8244185
droso_4840,15.4,3.1012154,2.8023314,2.7207615
droso_4840,15.5,3.1715994,2.786246,2.3743682
droso_4840,15.600000000000001,3.1415098,2.0887165,2.7751544
droso_4840,15.700000000000001,3.418347,2.7477734,2.7975624
droso_4840,15.8,3.4729679,2.9519606,2.6707244
droso_4840,15.9,3.5489154,2.646758,2.8094919
droso_4840,16.0,3.2384942,2.8595824,2.8586369
droso_4840,16.1,3.1259587,3.033756,3.2820992
droso_4840,16.2,2.8838181,2.9470022,2.8979952
droso_4840,16.3,3.0286174,2.811034,3.066972
droso_4840,16.400000000000002,2.966801,3.3385231,3.0687795
